Name,Age,Gender,Tourist Destination Visited,Month of Travel,Season of Travel,Duration of Stay (days),Number of People Traveled With,Visited during Festival/Event?,Main Reason for Visiting
Ishaan Sharma,38,Female,Manali,October,Winter,4,1,No,Pilgrimage
Prisha Pandey,26,,Shimla,March,Winter,,8,No,Business
Rohit Mishra,48,Male,Vrindavan,March,,15,8,No,Business
Sai Reddy,28,Male,Konkan,March,Winter,13,2,No,Festival
Manisha Pawar,44,Male,Goa,September,Monsoon,9,2,No,Holiday
Sunita Sharma,43,Female,Jaipur,August,Monsoon,6,1,No,Holiday
Prisha Jadhav,43,Male,Konkan,June,Festival,7,5,Yes,Holiday
Ira Waghmare,43,Male,Kashmir,March,,9,5,Yes,Business
Sai Pandey,33,Female,Manali,March,Winter,11,4,Yes,Holiday
Myra Iyer,28,Male,Shimla,April,Monsoon,8,6,No,Holiday
Reyansh Pandey,18,Female,Konkan,October,Festival,12,4,No,Business
Arjun Thakur,26,Female,Vrindavan,April,Monsoon,13,6,Yes,Holiday
Aadhya Deshmukh,28,Male,Jaipur,October,Festival,,5,Yes,Festival
Prisha Pandey,38,Female,Manali,May,Winter,8,2,No,Business
Prisha Kulkarni,60,Male,Shimla,November,Monsoon,9,2,Yes,Festival
Sunita Thakur,54,Male,Konkan,March,Summer,13,3,No,Holiday
Sara Verma,26,Female,Jaipur,October,Winter,14,4,No,Pilgrimage
Prisha Pawar,53,Male,Kashmir,April,Summer,13,5,Yes,Holiday
Sai Patil,55,Male,Goa,November,Festival,6,,No,Pilgrimage
,26,Male,Konkan,July,Summer,8,2,Yes,Festival
Myra Naidu,55,Male,Shimla,January,Summer,10,5,No,Festival
Kiran Ghosh,44,Female,Jaipur,October,Monsoon,7,10,Yes,Festival
Vihaan Kulkarni,54,Male,Konkan,March,Summer,6,9,Yes,Business
Kiran Sharma,58,Male,Vrindavan,April,Winter,11,10,,Festival
Anika Thakur,20,Male,Vrindavan,February,Summer,10,7,No,Business
Aditya Singh,37,Male,Goa,October,Festival,14,3,Yes,Business
Arjun Sharma,,Male,Goa,October,Monsoon,13,9,Yes,Festival
Sai Iyer,59,Male,Manali,May,Summer,9,6,Yes,Festival
Ananya Sharma,36,Male,Konkan,August,Winter,15,3,No,Festival
Aarav Yadav,45,Male,Goa,September,Festival,15,8,,Holiday
Rohit Verma,38,Female,Konkan,May,Summer,2,3,Yes,Business
Reyansh Iyer,60,Male,Jaipur,July,Monsoon,7,6,Yes,Pilgrimage
Myra Kulkarni,35,Male,Kashmir,January,Winter,12,8,Yes,Pilgrimage
Sneha Waghmare,51,Female,Konkan,July,Festival,7,2,No,Holiday
Sunita Joshi,41,Male,Goa,April,Festival,3,3,Yes,Business
Sunita Joshi,43,Male,Manali,December,,,5,No,Festival
Anika Singh,27,Male,Konkan,April,Monsoon,2,8,No,Holiday
Aarav Joshi,33,Male,Goa,July,Winter,13,1,Yes,Festival
Saanvi Waghmare,36,Male,Jaipur,May,Winter,13,6,No,Holiday
Prisha Kulkarni,43,,Konkan,June,Festival,5,5,No,Holiday
Kiran Chitkote,43,Female,Vrindavan,March,Summer,2,6,Yes,Pilgrimage
Arjun Ghosh,28,Female,Goa,July,Summer,6,9,Yes,Holiday
Pari Mishra,29,Male,Shimla,August,,3,,No,
Manisha Patil,35,,Jaipur,September,,13,5,Yes,Holiday
Prisha More,57,Female,Goa,June,Winter,7,3,Yes,Business
Rahul Chitkote,18,Male,,September,Summer,5,8,Yes,Pilgrimage
Diya Jadhav,49,Male,Shimla,December,Festival,9,,No,
,48,Female,Kashmir,September,Monsoon,14,2,No,Holiday
Kiran Sharma,33,Female,Kashmir,September,Summer,7,7,Yes,Business
Aadhya Jadhav,58,Male,Goa,November,Summer,,3,Yes,Festival
Manisha Joshi,,,Shimla,July,Winter,2,3,Yes,Holiday
Pari Jadhav,40,Female,Kashmir,October,Monsoon,6,8,Yes,Holiday
Rahul Singh,,Male,Konkan,November,Summer,,8,No,Pilgrimage
Rohit Joshi,48,Male,Goa,February,,13,3,No,Festival
Kiran Ghosh,36,Female,Kashmir,June,Summer,13,9,No,Holiday
Pari Joshi,53,Female,Jaipur,May,Winter,12,6,Yes,Pilgrimage
Vihaan Pawar,35,Male,Kashmir,June,Festival,8,3,No,Pilgrimage
Aditya Deshmukh,36,Male,,November,Winter,5,4,No,Business
Sunita Sharma,41,Female,Manali,,Winter,8,5,,Festival
Pooja Jadhav,43,Male,Manali,September,Festival,13,1,,Business
Sneha Deshmukh,59,Male,Kashmir,March,Festival,2,9,No,Festival
Aditya Reddy,31,Male,,September,Winter,5,2,No,Pilgrimage
Abhilasha Pawar,,Male,Manali,March,Monsoon,2,4,No,Holiday
Pooja Jadhav,18,Male,Vrindavan,,Summer,5,1,Yes,Holiday
Sai Ghosh,,Female,Kashmir,August,Summer,14,3,No,Festival
Sujeet Waghmare,55,Male,Shimla,July,Winter,4,,No,Holiday
Krishna Yadav,44,Female,Kashmir,March,Festival,8,6,No,Holiday
Anika Waghmare,22,Male,Goa,November,,6,,No,Business
Anika Kulkarni,41,Female,Konkan,April,Summer,12,1,No,Business
Arjun Pandey,20,Male,Goa,September,Monsoon,2,1,No,Festival
Manisha Yadav,54,Male,Manali,March,Winter,5,5,No,Pilgrimage
Myra Verma,,Male,Konkan,July,Winter,6,2,Yes,Business
Ananya Deshmukh,40,Female,Goa,January,Festival,2,1,No,Holiday
Gaurav Verma,53,Female,Goa,September,Monsoon,4,3,No,Business
Aadhya Naidu,38,Female,Konkan,April,Summer,11,2,Yes,Pilgrimage
Arjun Waghmare,29,Female,Kashmir,June,,14,,No,Holiday
Pooja Joshi,40,Male,Kashmir,August,Summer,6,,No,Festival
Vivaan Chitkote,24,Female,Kashmir,August,,11,4,No,Pilgrimage
Vivaan Pandey,32,Female,Shimla,March,Summer,9,9,No,Pilgrimage
Pari Pandey,46,Female,Manali,June,Monsoon,5,7,Yes,Holiday
Abhilasha Iyer,39,Male,Goa,February,Festival,15,2,Yes,Business
Ishaan Joshi,23,Male,Shimla,February,Summer,12,2,Yes,
Pari Pawar,40,Male,Kashmir,July,Summer,14,5,No,Festival
Diya Iyer,54,Male,Kashmir,April,Festival,11,7,Yes,Holiday
Gaurav Reddy,21,Male,Shimla,December,Winter,11,3,No,Business
Krishna Naidu,51,Male,Vrindavan,April,Monsoon,10,4,No,Business
Vivaan More,53,Male,Manali,June,,9,2,Yes,Business
Saanvi Iyer,31,Female,Kashmir,October,Summer,11,10,Yes,Festival
Sai Mishra,54,Female,Manali,April,Festival,12,7,Yes,Festival
Sneha Ghosh,41,Male,Kashmir,January,Winter,13,2,,Holiday
Aditya Yadav,38,Female,Manali,July,Winter,12,6,Yes,Pilgrimage
Manisha Pawar,32,,Manali,December,Monsoon,2,6,Yes,Business
Sara Ghosh,23,Male,Goa,June,Winter,12,3,No,Pilgrimage
Ishaan Naidu,57,Male,Jaipur,December,Monsoon,8,7,Yes,Holiday
Myra Sharma,35,Female,Vrindavan,October,Monsoon,14,9,No,Festival
Vihaan Deshmukh,56,Male,Kashmir,March,Festival,7,9,,Pilgrimage
Prisha Mishra,55,Male,Kashmir,November,Festival,5,,No,Holiday
Sneha Verma,29,Male,Konkan,September,Monsoon,3,7,No,Business
Aditya Verma,51,Male,Vrindavan,April,Summer,8,6,No,Festival
Manisha Sharma,40,Female,Manali,January,Summer,2,7,Yes,Holiday
Myra Pandey,41,Male,Shimla,May,Festival,3,3,Yes,Business
Aadhya Waghmare,59,Male,Goa,September,Monsoon,13,7,Yes,Pilgrimage
Ishaan Singh,39,Male,Kashmir,July,Summer,2,4,,Pilgrimage
Krishna Jadhav,58,Female,Jaipur,October,Festival,7,6,No,Business
Gaurav Verma,37,Male,Shimla,May,Festival,10,3,No,Pilgrimage
Diya Deshmukh,53,Female,Manali,January,Monsoon,13,10,Yes,Pilgrimage
Arjun Chitkote,41,Female,Kashmir,October,Summer,8,2,Yes,Pilgrimage
,55,Male,Manali,April,Monsoon,13,10,No,Festival
Myra Pandey,22,Male,Manali,January,Summer,4,5,Yes,Business
Pari More,37,Female,Kashmir,November,Monsoon,2,,Yes,Business
Pari Singh,39,Male,Vrindavan,April,Winter,8,7,No,Holiday
Anika Thakur,30,,Shimla,July,Festival,9,6,No,Business
,34,Male,Kashmir,January,Monsoon,10,4,Yes,Business
Vivaan Chitkote,60,Male,Konkan,December,Monsoon,14,7,Yes,Festival
Gaurav Ghosh,48,Male,Jaipur,January,Monsoon,10,6,Yes,Pilgrimage
Ira Ghosh,49,Male,Shimla,November,Winter,9,3,Yes,Festival
Prisha Waghmare,52,Male,Goa,August,Winter,,9,Yes,Holiday
Aadhya Mishra,24,Female,Goa,July,Festival,4,4,No,Business
Sai Kulkarni,36,Male,Goa,January,Winter,7,6,No,Business
Sai Chitkote,52,Male,Kashmir,December,Festival,12,6,Yes,Holiday
Sujeet Singh,60,,Shimla,April,Festival,4,,No,Business
Rohit Pandey,56,Male,Jaipur,January,Summer,8,10,No,Holiday
Rahul Kulkarni,,Female,Konkan,September,Festival,14,2,No,Pilgrimage
Ananya Patil,42,,Manali,June,Summer,8,1,No,Festival
Ira Jadhav,34,Male,Konkan,April,Monsoon,12,9,No,Holiday
Ira Pandey,,Female,Goa,January,,3,5,No,Business
Ishaan Ghosh,31,,Goa,August,Festival,2,9,No,Festival
Sara Chitkote,45,Male,Konkan,June,Summer,13,5,Yes,Business
Sunita Thakur,43,Male,Jaipur,May,Festival,8,2,Yes,Pilgrimage
Myra Joshi,36,Male,Shimla,September,Festival,7,10,No,Pilgrimage
Manisha Waghmare,31,Male,Manali,December,Monsoon,10,6,Yes,Festival
Vihaan Yadav,49,Male,Goa,December,Monsoon,13,4,Yes,Business
Sujeet Jadhav,18,Female,Manali,January,Winter,4,3,,Festival
Sujeet Kulkarni,48,Female,,September,,3,2,Yes,Pilgrimage
Saanvi Deshmukh,28,Male,Kashmir,April,Winter,14,6,Yes,Business
Manisha Joshi,25,Male,Jaipur,March,Summer,8,5,Yes,Holiday
Sara Mishra,30,Female,Kashmir,September,Winter,14,3,Yes,Pilgrimage
Krishna Pandey,47,Female,Kashmir,November,Monsoon,13,6,No,Business
Anika Jadhav,34,Female,Konkan,July,Winter,6,7,Yes,Pilgrimage
Ishaan Reddy,26,Male,Kashmir,March,Festival,13,8,Yes,Pilgrimage
Kiran Joshi,53,Male,Shimla,October,Winter,9,4,No,Pilgrimage
,32,Female,Kashmir,March,Summer,8,7,No,Business
Krishna Joshi,42,Male,Konkan,February,Winter,2,2,No,Holiday
Ishaan Deshmukh,31,Male,Goa,March,Summer,13,4,No,Holiday
Anika Ghosh,56,Male,Jaipur,April,Monsoon,3,1,Yes,Pilgrimage
Aadhya Waghmare,,Male,Goa,September,Summer,6,6,No,Business
Sai Singh,45,Male,Shimla,August,Festival,13,4,No,Festival
Sneha Mishra,49,,Goa,June,Monsoon,4,9,No,Pilgrimage
Ira Ghosh,,Female,Kashmir,November,Monsoon,2,4,No,Holiday
Aadhya Iyer,53,Male,Jaipur,June,Festival,3,9,,Festival
Abhilasha Jadhav,23,Male,Konkan,June,Monsoon,12,10,Yes,Holiday
Vihaan Iyer,32,Male,Goa,,Festival,4,7,No,Business
Manisha Thakur,41,Female,Goa,May,Summer,2,10,Yes,Festival
Aditya Waghmare,47,Male,Kashmir,December,Monsoon,8,3,Yes,Pilgrimage
Aadhya More,48,Male,Kashmir,February,Winter,,6,Yes,Festival
Abhilasha Reddy,40,Male,Shimla,December,Winter,11,4,Yes,Business
Myra Thakur,41,Male,Konkan,July,Summer,3,8,Yes,Business
Anika Yadav,37,Male,Jaipur,February,Summer,15,5,Yes,
Aditya Ghosh,22,Male,Manali,July,Winter,9,10,,Festival
Sunita Iyer,27,Male,Kashmir,August,Winter,11,1,No,Business
Vivaan Waghmare,33,Male,Vrindavan,March,Summer,15,7,,Festival
Prisha Ghosh,56,Female,Kashmir,June,Summer,15,4,Yes,Business
Gaurav Kulkarni,42,Male,Goa,May,Summer,14,8,No,Holiday
Abhilasha Yadav,21,Male,Goa,December,Summer,9,2,No,Festival
Sunita Reddy,59,Female,Shimla,April,,13,1,Yes,
Sara Pandey,22,Male,Goa,February,Winter,14,7,Yes,Business
Rahul More,35,Male,Shimla,January,Monsoon,15,3,No,
Rohit Pawar,44,Male,Konkan,June,Winter,15,10,No,Pilgrimage
Aarav Singh,29,Male,Kashmir,April,Summer,6,6,,Festival
Ira Deshmukh,35,Male,Manali,January,Summer,8,4,No,Holiday
Rohit Kulkarni,43,Female,Goa,July,Summer,10,10,No,Holiday
Kiran Iyer,,Male,Kashmir,February,Winter,15,5,No,Festival
Kiran Chitkote,31,Male,Kashmir,February,Festival,12,4,No,Festival
Prisha Naidu,39,Male,Jaipur,April,Monsoon,7,10,No,Festival
Prisha Yadav,,Male,Shimla,,Summer,5,2,No,Business
Pari Deshmukh,27,Male,Manali,December,Summer,5,10,No,Holiday
Rohit Verma,60,Male,Jaipur,,Summer,6,7,No,Business
Rohit Deshmukh,33,Female,Vrindavan,August,,,7,Yes,Holiday
Sara Deshmukh,22,Male,Shimla,August,Monsoon,7,6,Yes,Holiday
Vivaan Pandey,25,Male,Konkan,December,Summer,13,2,No,Pilgrimage
Aditya Chitkote,57,Male,Kashmir,January,Festival,7,3,No,Festival
Arjun Jadhav,20,Male,Konkan,May,Winter,14,5,,
Pari Yadav,43,Male,Goa,March,Summer,14,4,Yes,Business
Arjun Thakur,52,Male,Vrindavan,September,Winter,14,7,Yes,Business
Reyansh Jadhav,33,Male,Konkan,September,Summer,10,7,Yes,Holiday
Myra Mishra,20,Male,Konkan,May,Summer,14,3,Yes,Holiday
Kiran Yadav,48,Male,Goa,May,Festival,12,2,,Pilgrimage
Anika Iyer,54,Male,Vrindavan,June,Monsoon,6,6,,Business
,33,Male,Vrindavan,April,Summer,7,,No,Festival
,46,,Konkan,,Festival,4,,Yes,Festival
Ishaan Iyer,,Female,Konkan,March,Festival,4,10,No,Holiday
Aarav Reddy,45,Male,,December,Festival,3,7,No,Business
Ananya Naidu,20,Male,Manali,January,Summer,2,7,No,Business
Sneha Pandey,26,Male,Jaipur,,Summer,2,9,,Holiday
Sujeet Naidu,56,Male,,April,Monsoon,8,2,No,Business
Kiran Sharma,55,Male,Shimla,June,Winter,13,7,Yes,Business
Ira Reddy,53,Male,Konkan,December,Winter,13,5,Yes,Business
Reyansh Singh,20,Male,Kashmir,June,Winter,5,9,Yes,Festival
Sara Chitkote,57,Female,,December,Winter,3,1,No,Holiday
Rohit Naidu,38,Male,Manali,April,Summer,,4,Yes,Business
Sai Sharma,50,Female,Kashmir,March,Winter,2,9,No,Holiday
Krishna Waghmare,45,Female,Manali,December,Summer,8,10,Yes,Holiday
Reyansh Mishra,35,Male,Kashmir,December,Festival,14,8,Yes,Holiday
Pooja Patil,31,Male,Jaipur,,Monsoon,8,4,No,Holiday
Aditya Sharma,42,Male,Shimla,June,Monsoon,4,,No,Festival
Abhilasha Joshi,31,Male,Manali,January,Monsoon,8,10,,Pilgrimage
Pooja Mishra,25,Male,Goa,January,Festival,13,7,No,Festival
Reyansh Thakur,39,,Shimla,March,Winter,5,2,No,Holiday
,57,,Kashmir,February,Festival,11,,Yes,Business
Vivaan Chitkote,51,Male,Manali,October,Winter,15,3,No,Pilgrimage
Rohit Pandey,22,Male,Kashmir,October,Winter,3,10,Yes,Business
Kiran Reddy,48,Male,Konkan,June,Summer,8,4,No,Pilgrimage
Aditya Patil,53,,Manali,February,Summer,2,8,Yes,Business
Rohit Thakur,30,Female,Goa,January,Summer,10,4,No,Business
Kiran Thakur,57,Male,Shimla,March,Summer,8,5,No,Festival
,18,Male,Vrindavan,February,Monsoon,15,8,No,
Ayaan Sharma,35,Male,Kashmir,August,Winter,12,3,No,Holiday
Ishaan Naidu,19,Male,Kashmir,June,Summer,7,5,Yes,Pilgrimage
Pooja Patil,55,Male,Goa,September,Festival,6,5,Yes,
Gaurav Pandey,59,Male,Manali,December,Festival,10,9,Yes,Business
Arjun Reddy,59,Male,Shimla,February,Festival,12,3,Yes,Holiday
Ira Jadhav,34,Male,Manali,January,Festival,9,8,No,Pilgrimage
Myra Patil,57,Female,Goa,December,Monsoon,6,8,No,Business
Aditya Ghosh,,Male,Jaipur,January,Summer,4,5,Yes,Festival
Vihaan Ghosh,39,Male,Goa,June,Festival,14,7,Yes,Holiday
Ishaan Naidu,41,Male,Kashmir,January,Monsoon,8,9,No,Business
Rohit Chitkote,24,Male,Goa,March,Summer,13,5,Yes,Festival
Vihaan Pandey,59,Female,Shimla,December,Monsoon,5,6,No,Pilgrimage
Gaurav Sharma,50,Male,Shimla,August,Summer,15,,No,Pilgrimage
Diya Naidu,31,Male,Jaipur,,Winter,6,9,No,Holiday
Rohit Yadav,36,Male,Manali,June,Winter,12,9,No,Pilgrimage
Kiran Singh,53,Female,Vrindavan,January,Winter,11,2,Yes,Holiday
Saanvi Singh,19,Female,Manali,September,Festival,2,6,No,Holiday
Reyansh Waghmare,55,Female,Vrindavan,December,Monsoon,2,3,Yes,Holiday
Aadhya Deshmukh,51,Male,Konkan,May,Summer,7,5,No,Business
Rahul Yadav,60,Male,Kashmir,December,Festival,4,6,No,Holiday
Sai Mishra,59,Male,Kashmir,May,Festival,11,,Yes,Business
,27,Male,Kashmir,March,Winter,6,1,No,Holiday
Abhilasha Ghosh,30,Male,Jaipur,August,Festival,2,10,Yes,Business
Saanvi Joshi,24,Male,Konkan,March,Monsoon,15,8,No,Business
Sneha Joshi,36,Male,Goa,November,Monsoon,7,2,No,
Sujeet Deshmukh,46,Female,Jaipur,March,Winter,15,,No,Business
Reyansh Pawar,34,Male,Manali,August,Winter,3,1,No,Business
Rahul Patil,60,Male,Manali,April,Monsoon,13,2,No,Pilgrimage
Anika Pawar,31,Female,Kashmir,November,Monsoon,15,6,Yes,Holiday
Manisha Ghosh,49,Male,Shimla,February,Monsoon,11,1,Yes,Pilgrimage
Ishaan More,36,Male,Kashmir,April,Monsoon,3,,Yes,Pilgrimage
Ayaan Singh,32,Female,Manali,,Summer,14,2,Yes,Business
Ananya Singh,56,Female,Konkan,October,Festival,15,9,Yes,Business
Kiran Naidu,41,,Shimla,January,Monsoon,2,10,No,
Sujeet Iyer,27,Female,Vrindavan,May,Monsoon,8,6,No,Holiday
Myra Pawar,50,Male,Goa,May,Monsoon,5,9,,Festival
Saanvi Pandey,29,Male,Vrindavan,August,Winter,6,,No,Business
Saanvi Kulkarni,52,Male,Kashmir,July,Festival,5,4,Yes,Pilgrimage
Ayaan Pandey,32,Female,Goa,May,Monsoon,12,7,Yes,Holiday
Ayaan Thakur,57,Female,Vrindavan,October,Monsoon,4,1,Yes,Festival
Krishna Deshmukh,50,Male,Manali,July,Monsoon,7,10,Yes,Pilgrimage
Rohit Yadav,19,Female,Shimla,December,Monsoon,12,8,No,
Vivaan Chitkote,58,Female,Jaipur,June,Winter,9,9,No,Festival
Pooja Naidu,29,Female,Vrindavan,June,Monsoon,13,5,No,Holiday
Arjun Sharma,40,Female,Konkan,November,Festival,10,9,Yes,Festival
Rohit Thakur,60,Male,Kashmir,April,Summer,10,1,Yes,Pilgrimage
Pari Ghosh,31,Male,Konkan,June,Festival,7,6,No,Business
Aadhya Sharma,19,Male,Kashmir,October,Summer,12,9,Yes,Holiday
Arjun Verma,36,Male,Goa,January,Summer,5,9,Yes,Business
Aditya Singh,,Male,Jaipur,January,Monsoon,8,6,No,
Diya Patil,32,Male,Manali,July,Festival,4,8,Yes,Festival
,53,Male,Kashmir,May,Summer,,1,Yes,Holiday
Aadhya Thakur,29,Male,Jaipur,November,Summer,4,8,No,Business
Pari More,23,,Goa,January,Winter,2,4,No,Holiday
,53,Male,Goa,,Winter,4,8,,Pilgrimage
Ayaan Ghosh,52,Male,Manali,,Summer,7,5,Yes,Festival
Aditya Thakur,,Male,Goa,March,Winter,3,7,No,Holiday
Gaurav Waghmare,38,Male,Manali,September,Summer,10,,No,Festival
Vihaan Jadhav,36,Male,Konkan,August,Summer,6,4,Yes,Holiday
Reyansh Kulkarni,53,Male,Kashmir,February,Summer,7,8,Yes,Holiday
Myra Yadav,25,Male,Manali,October,Monsoon,13,1,Yes,Festival
Sunita Patil,,Male,Jaipur,August,Summer,2,8,No,Holiday
Pari Joshi,59,Male,Vrindavan,February,Winter,7,2,No,Business
Aditya Singh,57,Female,Kashmir,June,Monsoon,4,7,Yes,Festival
Rohit Mishra,34,Male,Goa,July,Festival,13,1,,Festival
Manisha Naidu,53,Female,Goa,August,Festival,12,1,Yes,Business
Rohit Naidu,24,,Vrindavan,April,Monsoon,6,,Yes,
Vihaan Thakur,21,Male,Jaipur,July,Monsoon,6,3,Yes,Business
Reyansh More,55,Male,Jaipur,February,Monsoon,7,2,No,Festival
Abhilasha Deshmukh,29,Female,Manali,September,,9,2,Yes,Pilgrimage
Aditya Sharma,60,Male,Goa,October,Monsoon,6,7,No,Business
Gaurav Verma,30,Male,Kashmir,,Summer,3,8,No,Pilgrimage
Aadhya Mishra,58,Female,Manali,July,Monsoon,4,4,Yes,Holiday
,42,Female,Vrindavan,November,Winter,4,7,No,Business
Pooja Ghosh,49,Male,Kashmir,,Festival,12,9,Yes,Pilgrimage
Aadhya Iyer,35,Male,Kashmir,,Winter,11,8,No,Holiday
Ira Verma,45,Male,Manali,June,Monsoon,9,5,No,Pilgrimage
Reyansh Ghosh,48,Male,Shimla,April,Winter,2,5,Yes,Pilgrimage
Abhilasha Jadhav,28,Male,Manali,February,Summer,3,6,No,Business
Sunita Kulkarni,27,Female,Manali,May,Monsoon,15,5,Yes,Business
,20,Male,Goa,October,Monsoon,2,8,Yes,Pilgrimage
Sunita Chitkote,57,Male,Konkan,January,Winter,9,4,No,Business
Sunita Joshi,29,Female,Kashmir,August,Summer,10,3,No,Business
Vivaan Pandey,40,Male,Konkan,August,Monsoon,4,9,No,Pilgrimage
Anika Reddy,59,Male,Kashmir,November,Festival,11,7,No,
Sneha Reddy,54,Male,Kashmir,June,Festival,3,7,Yes,Business
Aadhya Kulkarni,25,Female,Goa,May,Festival,14,8,Yes,Holiday
Sunita More,55,Male,Kashmir,July,Monsoon,6,10,,Business
Arjun Kulkarni,49,Male,Goa,February,Monsoon,14,3,No,Holiday
Aadhya Joshi,33,Male,Jaipur,March,Festival,6,3,No,Festival
Kiran Yadav,39,Male,Konkan,December,Festival,8,10,No,Holiday
Vihaan Joshi,24,Female,Manali,August,Winter,11,7,No,Festival
Pari Waghmare,39,Male,Kashmir,August,Monsoon,3,7,Yes,Festival
Sujeet Iyer,60,Male,Kashmir,,Winter,10,,,Business
Kiran More,,Male,Konkan,February,Festival,4,1,No,Pilgrimage
Vivaan Reddy,27,Male,Manali,June,Winter,3,6,Yes,Festival
Myra Sharma,,Male,Jaipur,February,Winter,15,5,No,Pilgrimage
Krishna Pandey,18,Male,Jaipur,April,Summer,5,1,Yes,Pilgrimage
Aarav Deshmukh,37,Female,Manali,April,Winter,3,4,Yes,Festival
Diya Naidu,27,Male,Kashmir,June,Winter,2,8,Yes,Pilgrimage
Rohit Verma,48,Male,Manali,November,Monsoon,11,10,No,Holiday
Ira Ghosh,24,Female,Goa,September,Winter,8,1,Yes,Festival
Gaurav Pandey,33,Male,Konkan,October,Summer,11,7,Yes,Business
Arjun Naidu,36,Female,Manali,November,Festival,6,1,No,Holiday
Aditya Mishra,48,Male,Goa,October,Winter,13,1,No,Pilgrimage
Ayaan Joshi,29,Male,Goa,October,Festival,2,4,No,Festival
Aarav Joshi,43,Female,,September,Summer,8,8,Yes,Pilgrimage
Krishna Yadav,32,Male,Goa,September,Winter,7,1,No,Holiday
Ayaan Kulkarni,23,Male,Manali,November,Monsoon,7,8,Yes,Business
Ishaan Sharma,,Male,Goa,April,Monsoon,7,2,No,Holiday
,48,Male,Manali,November,Festival,9,2,Yes,
Aarav Mishra,21,Female,Manali,June,Winter,6,9,Yes,Pilgrimage
Aarav Deshmukh,35,Male,Goa,July,Winter,4,5,No,Pilgrimage
Ira Iyer,27,Male,Konkan,June,Winter,7,2,Yes,Pilgrimage
Ira Naidu,59,Female,Vrindavan,May,Summer,7,3,,Pilgrimage
Gaurav Pawar,,Female,Goa,November,Festival,11,7,No,Festival
Aditya Chitkote,46,Female,Konkan,April,Summer,13,8,Yes,Pilgrimage
Manisha Verma,47,Female,Jaipur,November,Winter,14,8,Yes,Business
Rahul Joshi,32,Male,Kashmir,,Summer,,8,Yes,Festival
Sai Yadav,38,Male,Goa,July,Festival,3,3,Yes,Holiday
Krishna Waghmare,30,Male,Kashmir,March,Festival,9,3,Yes,Pilgrimage
Prisha Naidu,51,Male,Kashmir,July,Festival,,,No,Holiday
Saanvi Thakur,42,Male,Kashmir,September,Festival,2,2,Yes,Pilgrimage
Abhilasha Deshmukh,19,Male,Jaipur,August,Monsoon,7,8,No,Festival
Pari Verma,38,Male,Manali,January,Festival,8,,Yes,Business
,20,Male,Jaipur,December,Summer,9,3,No,Pilgrimage
Sai Pawar,22,Female,Goa,November,Summer,2,3,Yes,Festival
Saanvi Thakur,28,Female,Kashmir,June,Winter,3,3,Yes,Pilgrimage
Abhilasha Naidu,52,Male,Goa,August,Winter,10,6,No,Business
Sunita More,54,Male,Manali,,Summer,5,3,No,Festival
Rahul Mishra,50,Male,Konkan,,Festival,4,2,No,Business
,34,Male,Kashmir,August,Winter,14,1,Yes,Holiday
Ananya Reddy,24,Male,Manali,May,Winter,5,2,No,Business
Pooja Sharma,21,Female,Jaipur,April,Summer,9,7,No,Festival
Sai Singh,25,Male,Konkan,June,Summer,13,2,Yes,Business
,53,Male,Manali,March,Summer,10,6,No,Business
,27,Female,Shimla,August,Monsoon,10,10,No,Pilgrimage
Vihaan Waghmare,,Male,Jaipur,April,Festival,6,5,Yes,Holiday
Prisha Pandey,35,Male,Goa,November,Winter,5,1,No,Pilgrimage
Ayaan Pandey,18,Male,Vrindavan,September,,4,6,Yes,Pilgrimage
Abhilasha Chitkote,46,Female,Goa,July,Monsoon,13,3,Yes,Business
Ananya Ghosh,19,Female,Jaipur,May,Monsoon,2,6,No,Business
Sai Yadav,27,Female,Goa,May,,2,10,No,Business
Aarav Naidu,40,Female,Manali,June,Summer,7,10,Yes,Holiday
Pooja Thakur,33,Female,Manali,February,Festival,2,7,Yes,Business
Abhilasha Naidu,22,Male,Jaipur,April,Summer,11,2,No,Pilgrimage
Pari Verma,40,Female,Goa,June,Summer,5,2,Yes,Pilgrimage
Ayaan Verma,22,,Konkan,November,Summer,3,10,No,Festival
Myra Thakur,31,Female,Konkan,June,Summer,6,10,No,Festival
Rahul Deshmukh,48,Male,Jaipur,January,Monsoon,10,6,No,Pilgrimage
Krishna Chitkote,45,Male,Jaipur,May,Winter,7,4,Yes,Business
Abhilasha Ghosh,26,Male,Jaipur,August,Summer,4,5,,Festival
Vihaan Yadav,28,Male,Goa,July,Summer,,2,No,Holiday
Saanvi Pawar,39,Female,Goa,February,Monsoon,7,9,No,Festival
Ayaan Kulkarni,50,Female,Shimla,November,Monsoon,12,7,Yes,Business
Vivaan Verma,33,Female,Jaipur,June,Monsoon,3,3,No,Pilgrimage
Rahul Jadhav,33,Female,,November,Monsoon,9,2,No,
Vihaan More,33,Male,,September,Festival,3,7,No,Holiday
Saanvi Patil,30,,Goa,January,Summer,11,9,Yes,Business
,25,Female,Konkan,July,Festival,2,5,No,Holiday
Prisha Mishra,52,,Manali,February,Festival,4,10,Yes,Holiday
Sai Ghosh,37,Female,,January,Winter,4,8,Yes,Festival
Aadhya Mishra,47,Female,Manali,December,Summer,11,10,Yes,Pilgrimage
Sai Naidu,41,Male,Konkan,March,Monsoon,13,9,Yes,Festival
,59,Female,Vrindavan,,Summer,11,3,No,Holiday
Anika More,43,,Konkan,September,Festival,14,1,Yes,Business
